Title,Jahr,Author,Untertitel,Dokumententyp,"Übergeordneter Titel",Zeitschrift,Reihentitel,Herausgeber,Ort,Verlag,Auflage,ISBN,DOI,Band,Nummer,Seiten,"Internetdokument URL",Institution/Veranstalter,"Vortragsreihe / Veranstaltung",Datum,Vortragende/r,Vortragstyp,Panel
"When Two Worlds Collide: Examining Group Practices During Big Data Analytics Adoption",,"Hagen, J.; Graf, Angela",,Zeitschriftenaufsatz,,"Journal of Strategic Information Systems",,,,,,,,,,,,,,,,,
"Data Portability: Conceptualization, Architectures, and Implications. Business & Information Systems Engineering",,"Kranz, Johann; Kuebler-Wachendorff, Sophie; Syrmoudis, Emmanuel; Grossklags, Jens; Mager, Stefan; Mayr, Susanne",,"Unklarer Dokumententyp",,,,,,,,,,,,,,,,,,,
"AI-assisted reflection in child welfare","im Druck","Kraus, Maximillian; Burghardt, Jennifer; Koska, Christopher",,"Beitrag in ...","Künstliche Intelligenz und ethische Verantwortung",,,"Reder, Michael; Koska, Christopher",,"Transcript Verlag",,978-3-8376-6905-3,,,,,,,,,,,
"Vertrauen im Kontext","im Druck","Wolf, Susanna; Schütte, Jan-Fiete; Hauer, Marc; Koska, Christopher","Messung und Operationalisierung","Beitrag in ...","Künstliche Intelligenz und ethische Verantwortung",,,"Reder, Michael; Koska, Christopher",,"Transcript Verlag",,978-3-8376-6905-3,,,,,,,,,,,
"Die Verlagerung von Vertrauen vom Mensch zur Maschine",,"Koska, Christopher; Prugger, Julian; Jörg, Sophie; Reder, Michael","Eine Erweiterung des zwischenmenschlichen Vertrauensparadigmas im Kontext Künstlicher Intelligenz",Zeitschriftenaufsatz,,"Zeitschrift für Praktische Philosophie",,"Beck, Birgit; Reinhardt, Karoline; Schweiger, Gottfried; Zichy, Michael",,,,,,,,,,,,,,,
"Utilitarismus, Liberalismus und libertäre Theorie","[Im Druck]","Rüger, Korbinian; Baumann Marius",,"Beitrag in ...","Handbuch Utilitarismus",,,"Andric, Gesang",,,,,,,,,,,,,,,
"Verantwortungsteilung zwischen Mensch und Maschine?",2020,"Bauer, Nikolaus; Nida-Rümelin, Julian; Staudacher, Klaus",,"Beitrag in ...",Digitalisierung,,,"Beck, Kusche et al.",,,,,,,,,,,,,,,
"Zur Frage der Verantwortung und Haftung von KI",2020,"Bauer, Nikolaus; Staudacher, Klaus",,"Graue Literatur / Bericht / Report",,bidt-Magazin,"bidt Magazin",bidt,,,,,,,,,,,,,,,
"The Use of De-identification Methods for Secure and Privacy-enhancing Big Data Analytics in Cloud Environments",2020,"Bondel, Gloria; Garrido, Gonzalo; Baumer, Kevin; Matthes, Florian",,Konferenzpapier,"Proceedings of the 22nd International 2020",,,,,,,,10.5220/0009470903380344,,,338–344,,,,,,,
"Digitalisierungsstrategien bundesdeutscher Länder",2020,"Brunner, Katharina; Jager, Andreas; Hess, Thomas; Münch, Ursula","Eine Bestandsaufnahme ihrer Entwicklung und Implementierung","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,,,,,,,
